OBJECTID,UNIT_ID,LMS_ID,PARK_NAME,PARK_LBL,ACCESS_TYP,RPT_ACRES,GIS_ACRES,AGNCY_NAME,AGNCY_LEV,AGNCY_TYP,AGNCY_WEB,MNG_AGENCY,COGP_TYP,NDS_AN_TYP,NEEDS_ANLZ,TKIT_SUM,AMEN_RPT,PRKINF_CND,AM_OPNSP,AM_TRLS,TRLS_MI,TENIS,BSKTB,BASEB,SOCCR,MPFLD,FITZN,SK8PK,PCNIC,PLGND,POOLS,SPPAD,DGPRK,GYM,COMCT,SNRCT,RSTRM,TOTAL_GOOD,TOTAL_FAIR,TOTAL_POOR,TYPE,CENTER_LAT,CENTER_LON,ADDRESS,CITY,ZIP,HOURS,PHONES,IS_COUNTY,Shape__Area,Shape__Length
1587,14757,22787,Castle Peak Park,Castle Peak Park,Open Access,3.027,3.0265126,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Neighborhood Park,Park < 5 Acres,Yes,Yes,Yes,Good,Present - Fair,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Local Park,34.20729683,-118.6534046,24220  Clarington Dr,Los Angeles,91304,,(818) 883-6641,No,131834.3662,1516.23162
1659,15526,22828,Chase Park,Chase Park,Open Access,5.964,5.96342997,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Neighborhood Park,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Present - Poor,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Local Park,34.22363902,-118.6178733,22525  Chase St,Los Angeles,91304,,(818) 883-6641,No,259765.9688,2071.929643
2230,45743,,Canoga Park Senior Citizen Center,Canoga Park Senior Citizen Ctr.,Restricted Access,0.773,0.77328319,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,34.20364637,-118.6025159,7326 Jordan Ave,Los Angeles,91303,,,No,33684.08203,749.4432371
2325,45843,,Chatsworth Reservoir Site,Chatsworth Reservoir Site,Open Access,147.692,147.6778449,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Regional Park,Regional Openspace,Yes,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,34.23662458,-118.6397816,Chatsworth Reservoir,Los Angeles,91304,,,No,6432821.191,28029.93358
2537,46175,,Unnamed site - Mountains Recreation and Conservation Authority, ,Unknown Access,0.369,0.36897721,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.22370275,-118.6527135,,Los Angeles,91304,,,No,16072.58203,551.8578588
2691,46365,,Unnamed site - Mountains Recreation and Conservation Authority, ,Unknown Access,9.226,9.22533596,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.22782569,-118.6661142,,Los Angeles,91304,,,No,401854.0283,2994.430024
34,826,,Garden of the Gods,Garden of the Gods,Open Access,27.221,27.21860577,Santa Monica Mountains Conservancy,State,State Agency,http://www.smmc.ca.gov,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.27324086,-118.6109988,Chatsworth,Los Angeles,91311,,,No,1185637.724,7126.167764
35,831,,Garden of the Gods Park,Garden of the Gods Park,Open Access,55.028,55.02386395,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Community Regional Park,Park 5 to 100 Acres,Yes,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,34.27450879,-118.6017148,Chatsworth,Los Angeles,91311,,,No,2396829.926,7658.808314
88,1954,,Unnamed site - Mountains Recreation and Conservation Authority, ,Open Access,14.362,14.36056951,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Community Park,Park 5 to 100 Acres,Yes,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,34.27567745,-118.593906,,Los Angeles,91311,,,No,625543.9043,3666.962003
215,5161,2622,Mason Park,Mason Park,Open Access,17.072,17.07086578,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Community Park,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Present - Poor,None,0,0,1,2,0,1,0,0,0,2,0,1,0,1,1,0,0,3,5,1,Local Park,34.2607544,-118.5784415,10500  Mason Ave,Los Angeles,91311,,(818) 998-6377,No,743603.9346,3455.331627
226,5332,,Michael D. Antonovich Regional Park at Joughin Ranch,Michael D. Antonovich RP at Joughin Ranch,Open Access,2192.602,2192.394595,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.31686936,-118.6151183,16100 Browns Canyon Road,Los Angeles,91311,,,No,95500326.54,120380.4954
1312,10272,,Rocky Peak Adj. Tax Default,Rocky Peak Adj. Tax Default,Unknown Access,9.688,9.68709793,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,34.2730428,-118.632306,,Los Angeles,91311,,,No,421968.2988,3184.920466
1313,10284,,Rocky Peak Park,Rocky Peak Park,Open Access,458.185,458.1357614,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.31230391,-118.635772,Rocky Peak Rd,Los Angeles,91311,,,No,19956313.94,31675.01718
1332,11657,22822,Santa Susana Pass State Historic Park,Santa Susana Pass SHP,Open Access,681.978,681.2171617,California Department of Parks and Recreation,State,State Agency,http://www.parks.ca.gov/,California Department of Parks and Recreation,Regional Park,Regional Openspace,Yes,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,34.26228402,-118.6246998,9853 Andora Ave,Los Angeles,91311,,,No,29673700.86,54937.0687
1538,12853,,MRCA Parkland,MRCA Parkland,Open Access,0.101,0.10129175,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,34.28018383,-118.5919724,,Los Angeles,91311,,,No,4412.251953,276.9868975
1539,12854,,MRCA Parkland,MRCA Parkland,Open Access,0.05,0.04988338,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,34.28019222,-118.5917625,,Los Angeles,91311,,,No,2172.910156,217.6428723
1540,12855,,MRCA Parkland,MRCA Parkland,Open Access,37.226,37.22234673,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.30410758,-118.5996841,,Los Angeles,91311,,,No,1621398.938,5094.402112
1541,12856,,MRCA Parkland,MRCA Parkland,Open Access,131.031,131.019184,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Regional Park,Regional Openspace,Yes,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,34.29745512,-118.5997159,,Los Angeles,91311,,,No,5707172.826,11794.95506
1543,12864,,MRCA Parkland,MRCA Parkland,Open Access,39.118,39.11447411,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.30768159,-118.5997752,,Los Angeles,91311,,,No,1703819.677,5223.366597
1568,14510,22813,Stoney Point Park,Stoney Point Park,Open Access,28.653,28.65095875,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Community Regional Park,Park 5 to 100 Acres,Yes,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,34.27047358,-118.6040202,On Topanga Canyon Blvd,Los Angeles,91311,,,No,1248030.772,4316.408624
1661,15549,22734,Chatsworth Oaks Park,Chatsworth Oaks Park,Open Access,2.904,2.9038556,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Pocket Park,Park < 5 Acres,Yes,Yes,Yes,Fair,Present - Poor,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Local Park,34.24019878,-118.6291953,9301  Valley Circle Blvd,Los Angeles,91311,,(818) 341-6595,No,126491.4453,1622.852563
1662,15573,73835,Chatsworth Park North,Chatsworth Park North,Open Access,24.044,24.04254602,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Community Regional Park,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Present - Poor,None,0,0,1,3,0,0,1,0,0,1,0,0,0,0,0,0,1,1,4,2,Local Park,34.26381675,-118.6127638,22300  Chatsworth St,Los Angeles,91311,,(818) 341-0377,No,1047289.12,5485.045094
1663,15596,73837,Chatsworth Park South,Chatsworth Park South,Open Access,73.527,73.52146178,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Community Regional Park,Park 5 to 100 Acres,Yes,Yes,Yes,Poor,Present - Fair,None,0,2,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,5,Local Park,34.26093837,-118.6191254,22360  Devonshire St,Los Angeles,91311,,(818) 341-6595,No,3202582.063,10242.32878
1708,18451,,Deer Lake Highlands,Deer Lake Highlands,Open Access,34.348,34.34515179,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.28710268,-118.5995956,Chatsworth,Los Angeles,91311,,,No,1496068.804,36276.51782
1710,18462,,Deer Lake Highlands Adj,Deer Lake Highlands Adj,Open Access,17.922,17.92028462,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Community Park,Park 5 to 100 Acres,Yes,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,34.27952729,-118.5970412,Chatsworth,Los Angeles,91311,,,No,780604.4844,10871.45007
2048,44382,,Indian Springs Toll Brothers,Indian Springs Toll Brothers,Unknown Access,281.454,281.4300679,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Regional Park,Regional Openspace,Yes,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,34.28277387,-118.6266055,11010 Sweetwater Court,Los Angeles,91311,,,No,12259044.73,28445.91005
2303,45821,73926,Old Mission Trail,Old Mission Trail,Open Access,13.606,13.60461916,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,34.27227692,-118.5691558,Old Mission Trail,Los Angeles,91311,,,No,592614.835,9341.476511
2343,45869,25636,Browns Canyon,Browns Canyon,Unknown Access,27.208,27.20548258,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Equestrian Park,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.29486782,-118.5915523,12080 Browns Canyon Rd.,Los Angeles,91311,,General: (626) 575-5756,No,1185066.076,4883.833241
2484,46100,,Unnamed site - Mountains Recreation and Conservation Authority, ,No Public Access,0.069,0.06865393,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.27937054,-118.5927823,,Los Angeles,91311,,,No,2990.553711,229.9845654
2519,46154,,Unnamed site - Mountains Recreation and Conservation Authority, ,Unknown Access,0.054,0.05405661,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.27975822,-118.5928096,,Los Angeles,91311,,,No,2354.695313,198.2296943
2626,46292,,Unnamed site - Mountains Recreation and Conservation Authority, ,Unknown Access,15.498,15.49677059,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.29033206,-118.6039509,,Los Angeles,91311,,,No,675036.623,6933.012819
2628,46298,,Devil Canyon Red Mesa,Devil Canyon Red Mesa,Unknown Access,15.666,15.66427943,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.282423,-118.6051876,,Los Angeles,91311,,,No,682333.2803,5597.069137
2725,46402,,Rocky Peak Park,Rocky Peak Park,Open Access,823.354,821.5203371,Santa Monica Mountains Conservancy,State,State Agency,http://www.smmc.ca.gov,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.31065507,-118.6389874,Rocky Peak Rd,Los Angeles,91311,,,No,35785282.74,31584.39299
2786,46469,,Unnamed site - Mountains Recreation and Conservation Authority, ,Unknown Access,18.904,18.90238016,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.28222894,-118.6326161,,Los Angeles,91311,,,No,823384.3877,5939.563763
15,302,23163,Encino Park,Encino Park,Open Access,4.068,4.06760924,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Neighborhood Park,Park < 5 Acres,Yes,Yes,Yes,Fair,Present - Good,None,0,2,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,4,1,Local Park,34.16072073,-118.5027099,16953  Ventura Blvd,Los Angeles,91316,,(818) 995-1690,No,177184.3496,1868.278617
28,665,71586,Balboa Sports Center,Balboa Sports Ctr.,Open Access,48.758,81.86571541,United States Army Corps of Engineers,Federal,Federal Agency,http://www.usace.army.mil/,United States Army Corps of Engineers,Community Regional Park,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Present - Fair,Present - Good,0,16,2,4,12,0,0,0,0,1,0,0,0,1,0,0,4,13,23,4,Local Park,34.17630042,-118.5034639,17015 Burbank Blvd,Los Angeles,91316,,,No,3566056.299,8238.703051
81,1861,70013,Hjelte Sports Center,Hjelte Sports Ctr.,Open Access,14.717,14.71671061,United States Army Corps of Engineers,Federal,Federal Agency,http://www.usace.army.mil/,United States Army Corps of Engineers,Community Park,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Present - Fair,None,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,Local Park,34.16684145,-118.4850789,16200 Burbank Blvd,Los Angeles,91436,,,No,641057.3535,3480.886983
128,3261,73969,Sepulveda Basin Wildlife Reserve,Sepulveda Basin Rec. Area,Open Access,327.34,327.3231627,United States Army Corps of Engineers,Federal,Federal Agency,http://www.usace.army.mil/,United States Army Corps of Engineers,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,34.17634255,-118.4798099,17017 Burbank Blvd,Los Angeles,91436,,,No,14258139.95,34061.20989
132,3334,73923,Lake Balboa Park,Sepulveda Basin Rec. Area,Open Access,110.971,110.9653148,United States Army Corps of Engineers,Federal,Federal Agency,http://www.usace.army.mil/,United States Army Corps of Engineers,Regional Park,Regional Park,Yes,Yes,Yes,Fair,Present - Fair,Present - Fair,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,2,2,5,0,Regional Recreation Park,34.18169553,-118.4939506,6300 Balboa Blvd,Los Angeles,91436,,,No,4833629.78,16016.22745
185,4764,,Los Encinos SHP,Los Encinos SHP,Open Access,5.272,5.27181499,California Department of Parks and Recreation,State,State Agency,http://www.parks.ca.gov/,California Department of Parks and Recreation,Neighborhood Park,Park 5 to 100 Acres,Yes,Yes,Yes,Good,Present - Good,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Local Park,34.15997118,-118.4990725,16756 Moorpark St,Los Angeles,91436,,,No,229639.3428,2074.164201
653,6366,25078,Encino Reservoir,Encino Reservoir,No Public Access,1058.717,1058.676671,"Los Angeles - Department of Water and Power, City of",City,City Agency,http://www.ladwp.com/,"Los Angeles - Department of Water and Power, City of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.13856924,-118.5176932,Encino Reservoir,Los Angeles,91316,,,No,46115771.33,37013.78218
1338,12215,,Sepulveda Basin Rec. Area,Sepulveda Basin Rec. Area,Open Access,268.403,268.3885194,United States Army Corps of Engineers,Federal,Federal Agency,http://www.usace.army.mil/,United States Army Corps of Engineers,Regional Park,Regional Park,Yes,Yes,Yes,Fair,Present - Fair,Present - Good,0,0,0,4,1,1,1,1,0,0,0,0,1,0,0,1,3,7,5,1,Regional Recreation Park,34.17719305,-118.4978067,17017 Burbank Blvd,Los Angeles,91436,,,No,11690957.14,43135.75991
1339,12239,73922,Sepulveda Garden Center,Sepulveda Garden Ctr.,Open Access,24.087,24.08552992,United States Army Corps of Engineers,Federal,Federal Agency,http://www.usace.army.mil/,United States Army Corps of Engineers,Community Regional Park,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Present - Fair,None,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,2,0,Local Park,34.16616971,-118.4957849,16633 W Magnolia Blvd,Los Angeles,91436,,,No,1049161.483,7334.290947
1544,12883,,Balboa Golf Course & Encino Golf Course,Balboa GC & Encino Golf Course,Open Access,320.944,320.9273754,United States Army Corps of Engineers,Federal,Federal Agency,http://www.usace.army.mil/,United States Army Corps of Engineers,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.17219897,-118.4923195,16821 Burbank Blvd,Los Angeles,91436,,,No,13979540.55,17476.1044
1656,15480,22820,Woodley Avenue Park,Sepulveda Basin Rec. Area,Open Access,119.836,119.8300211,United States Army Corps of Engineers,Federal,Federal Agency,http://www.usace.army.mil/,United States Army Corps of Engineers,Regional Park,Regional Park,Yes,Yes,Yes,Fair,Present - Fair,Present - Good,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,4,1,1,5,Regional Recreation Park,34.18073428,-118.4764299,Woodley Ave,Los Angeles,91436,,,No,5219774.839,15682.07893
1678,17417,73865,Libbit Park/Encino Little League,Libbit Park/ Encino Little League,Open Access,24.543,24.54220432,United States Army Corps of Engineers,Federal,Federal Agency,http://www.usace.army.mil/,United States Army Corps of Engineers,Community Regional Park,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Present - Fair,None,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,Local Park,34.1632099,-118.4895562,5120 Hayvenhurst Ave,Los Angeles,91436,,,No,1069054.144,5460.717356
